# ID	x	y	Flux	Bkg	m
6.4000e+02	2.1260e+03	4.1390e+03	3.4650e+03	3.4130e+03	1.6451e+01
6.4100e+02	1.5720e+03	4.2380e+03	6.0210e+03	3.4190e+03	1.5851e+01
6.4200e+02	1.0950e+03	1.0040e+03	7.3060e+03	3.4280e+03	1.5641e+01
6.4300e+02	5.1700e+02	1.3330e+03	8.3210e+03	3.4220e+03	1.5500e+01
6.4400e+02	2.1360e+03	3.6910e+03	3.9910e+03	3.4230e+03	1.6297e+01
6.4500e+02	1.8660e+03	5.2300e+02	6.7190e+03	3.4120e+03	1.5732e+01
6.4600e+02	4.3400e+02	4.0790e+03	9.2730e+03	3.4240e+03	1.5382e+01
6.4700e+02	1.2770e+03	9.7600e+02	8.0880e+03	3.4240e+03	1.5530e+01
6.4800e+02	9.1000e+02	1.3850e+03	6.1050e+03	3.4210e+03	1.5836e+01
6.4900e+02	1.5080e+03	2.6660e+03	5.3780e+03	3.4300e+03	1.5973e+01
6.5000e+02	3.3900e+02	2.3490e+03	4.5240e+03	3.4200e+03	1.6161e+01
6.5100e+02	4.9100e+02	3.4380e+03	4.2310e+03	3.4210e+03	1.6234e+01
6.5200e+02	1.7720e+03	4.3810e+03	3.9600e+03	3.4190e+03	1.6306e+01
6.5300e+02	7.2400e+02	6.1300e+02	6.5940e+03	3.4270e+03	1.5752e+01
6.5400e+02	2.2780e+03	2.3960e+03	9.8130e+03	3.4190e+03	1.5320e+01
6.5500e+02	6.8700e+02	2.4140e+03	7.0320e+03	3.4240e+03	1.5682e+01
6.5600e+02	2.4570e+03	2.9550e+03	3.9960e+03	3.4190e+03	1.6296e+01
6.5700e+02	2.0400e+02	3.4130e+03	6.5220e+03	3.4210e+03	1.5764e+01
6.5800e+02	2.3610e+03	2.3500e+02	8.3245e+03	3.4095e+03	1.5499e+01
6.5900e+02	1.8140e+03	1.3910e+03	6.5780e+03	3.4140e+03	1.5755e+01
6.6000e+02	3.5600e+02	2.2730e+03	5.9360e+03	3.4200e+03	1.5866e+01
6.6100e+02	7.2200e+02	3.1130e+03	4.1540e+03	3.4260e+03	1.6254e+01
6.6200e+02	3.9300e+02	7.7500e+02	4.2760e+03	3.4230e+03	1.6222e+01
6.6300e+02	1.7140e+03	2.2000e+03	7.4340e+03	3.4200e+03	1.5622e+01
6.6400e+02	5.8300e+02	8.3000e+02	9.2000e+03	3.4240e+03	1.5391e+01
6.6500e+02	1.8350e+03	1.8800e+03	9.3060e+03	3.4130e+03	1.5378e+01
6.6600e+02	5.0600e+02	8.6500e+02	8.5200e+03	3.4260e+03	1.5474e+01
6.6700e+02	1.6210e+03	4.1400e+03	8.0840e+03	3.4190e+03	1.5531e+01
6.6800e+02	1.1100e+03	6.5200e+02	1.0428e+04	3.4310e+03	1.5254e+01
6.6900e+02	2.1920e+03	6.8000e+02	6.2135e+03	3.4095e+03	1.5817e+01
6.7000e+02	1.8740e+03	1.7360e+03	4.5480e+03	3.4170e+03	1.6155e+01
6.7100e+02	2.3820e+03	2.0730e+03	5.5650e+03	3.4200e+03	1.5936e+01
6.7200e+02	1.1290e+03	3.6890e+03	6.0795e+03	3.4295e+03	1.5840e+01
6.7300e+02	1.8070e+03	3.8680e+03	4.3590e+03	3.4250e+03	1.6202e+01
6.7400e+02	2.3560e+03	4.0750e+03	5.4500e+03	3.4120e+03	1.5959e+01
6.7500e+02	8.3700e+02	8.8300e+02	9.9230e+03	3.4270e+03	1.5308e+01
6.7600e+02	7.7200e+02	1.9310e+03	7.1070e+03	3.4230e+03	1.5671e+01
6.7700e+02	2.3920e+03	3.7130e+03	1.0293e+04	3.4140e+03	1.5269e+01
6.7800e+02	1.2980e+03	4.2390e+03	3.9100e+03	3.4220e+03	1.6320e+01
6.7900e+02	2.4670e+03	3.2200e+02	2.6460e+03	3.4040e+03	1.6744e+01
6.8000e+02	2.3940e+03	2.8030e+03	5.7110e+03	3.4210e+03	1.5908e+01
6.8100e+02	2.2810e+03	2.9690e+03	6.3135e+03	3.4215e+03	1.5799e+01
6.8200e+02	1.3970e+03	3.5350e+03	3.8730e+03	3.4470e+03	1.6330e+01
6.8300e+02	1.5140e+03	3.5360e+03	6.8610e+03	3.4490e+03	1.5709e+01
6.8400e+02	1.9410e+03	1.7110e+03	9.4400e+03	3.4160e+03	1.5363e+01
6.8500e+02	1.0390e+03	3.7280e+03	3.6430e+03	3.4300e+03	1.6396e+01
6.8600e+02	2.2110e+03	4.0670e+03	2.7120e+03	3.4120e+03	1.6717e+01
6.8700e+02	1.9820e+03	4.2940e+03	4.3580e+03	3.4180e+03	1.6202e+01
6.8800e+02	2.4010e+03	2.1800e+02	2.9490e+03	3.4110e+03	1.6626e+01
6.8900e+02	1.8000e+03	5.5600e+02	6.4980e+03	3.4200e+03	1.5768e+01
6.9000e+02	1.3070e+03	1.3030e+03	1.0117e+04	3.4190e+03	1.5287e+01
6.9100e+02	8.3500e+02	2.5170e+03	5.6360e+03	3.4220e+03	1.5923e+01
6.9200e+02	3.5100e+02	3.1460e+03	7.4060e+03	3.4230e+03	1.5626e+01
6.9300e+02	6.6500e+02	3.4420e+03	6.3660e+03	3.4290e+03	1.5790e+01
6.9400e+02	6.1700e+02	4.3780e+03	6.5040e+03	3.4190e+03	1.5767e+01
6.9500e+02	2.0540e+03	4.3910e+03	4.2580e+03	3.4180e+03	1.6227e+01
6.9600e+02	9.1400e+02	1.1480e+03	5.3020e+03	3.4230e+03	1.5989e+01
6.9700e+02	2.3740e+03	1.3530e+03	5.3190e+03	3.4340e+03	1.5985e+01
6.9800e+02	1.8100e+03	3.0360e+03	5.0980e+03	3.4400e+03	1.6032e+01
6.9900e+02	4.4600e+02	3.5690e+03	3.7460e+03	3.4240e+03	1.6366e+01
7.0000e+02	2.1660e+03	1.4500e+02	7.8310e+03	3.4070e+03	1.5565e+01
7.0100e+02	1.2010e+03	1.0580e+03	7.5060e+03	3.4250e+03	1.5611e+01
7.0200e+02	2.2860e+03	1.3460e+03	1.1218e+04	3.4270e+03	1.5175e+01
7.0300e+02	1.3240e+03	2.8550e+03	4.4450e+03	3.4440e+03	1.6180e+01
7.0400e+02	1.9100e+03	3.2160e+03	1.3889e+04	3.4350e+03	1.4943e+01
7.0500e+02	2.9300e+02	2.1810e+03	4.4720e+03	3.4190e+03	1.6174e+01
7.0600e+02	2.3910e+03	4.3170e+03	5.0260e+03	3.4060e+03	1.6047e+01
7.0700e+02	2.3550e+03	1.3210e+03	5.5790e+03	3.4280e+03	1.5934e+01
7.0800e+02	3.1700e+02	2.0510e+03	5.1330e+03	3.4210e+03	1.6024e+01
7.0900e+02	2.3870e+03	3.2330e+03	3.5710e+03	3.4200e+03	1.6418e+01
7.1000e+02	1.3080e+03	4.1700e+03	3.1700e+03	3.4240e+03	1.6547e+01
7.1100e+02	1.2210e+03	1.8920e+03	4.2560e+03	3.4210e+03	1.6227e+01
7.1200e+02	1.4060e+03	2.0470e+03	3.4510e+03	3.4180e+03	1.6455e+01
